유기번호,발견장소,품종,색상,나이,체중,성별,중성화여부,특징
"444449202401473","동남구 목천읍 삼성리 73 예비군훈령장","[개] 믹스견","검정","2019(년생)","19.7(Kg)","M","N","빨간목줄을 착용한 채 구조 , 순하고 사람좋아함 , 사상충 양성"
"444449202401464","서북구 번영로 208 종합운동장","[개] 믹스견","검+백","2019(년생)","12(Kg)","F","U","순함, 겁 있음, 웰시코기 믹스"
"444449202401457","동남구 목천읍 삼성4길 56","[개] 믹스견","갈검","2021(년생)","14(Kg)","M","N","우측 상완골 골절 , 사상충 양성 , 순함"
"444449202401456","동남구 동면 장송리 78-6","[개] 믹스견","검정","2022(년생)","17(Kg)","M","Y","심장사상충 음성, 목줄로 인한 목 부위 심한 열상  "
"444449202401448","서북구 입장면 하장리 77-1 입장동사무소 인근","[개] 스피츠","흰색","2022(년생)","7.2(Kg)","M","Y","진드기 감염 , 사람을 좋아하고 순함"
"444449202401442","천안-조치원 가는 방향 낙성바위 7길 번가","[개] 믹스견","갈색","2023(년생)","16.4(Kg)","M","N","겁은 있지만 순하고 사람을 좋아함 , 구조자분이 목줄을 채워주심"
"444449202401441","서북구 성환읍 율금리 606-2","[개] 믹스견","흰색","2020(년생)","13(Kg)","F","U","2마리 함께 구조 , 경계있음"
"444449202401440","서북구 성환읍 율금리 606-2","[개] 믹스견","흰색","2021(년생)","10(Kg)","F","U","2마리 함께 구조 , 소심함"
"444449202401438","서북구 성환읍 성환12길 35","[개] 믹스견","갈색","2020(년생)","13.5(Kg)","F","N","2마리 함께 구조 , 심장사사충 양성 , 순함"
"444449202401437","서북구 두정동 1078 계룡리슈빌아파트 101동","[개] 믹스견","갈색","2018(년생)","17.7(Kg)","F","U","사상충 양성 , 소심하지만 순함 "
"444449202401433","서북구 직산읍 연암율금로 74-8","[개] 믹스견","흰색","2024(60일미만)(년생)","2.5(Kg)","M","N","5마리 함께 구조, 45일 추정"
"444449202401432","서북구 직산읍 연암율금로 74-8","[개] 믹스견","흰색","2024(60일미만)(년생)","2.2(Kg)","M","N","5마리 함께 구조, 45일 추정"
"444449202401431","서북구 직산읍 연암율금로 74-8","[개] 믹스견","흰색","2024(60일미만)(년생)","2.5(Kg)","M","N","5마리 함께 구조, 45일 추정"
"444449202401429","서북구 직산읍 연암율금로 74-8","[개] 믹스견","흰색","2024(60일미만)(년생)","2.4(Kg)","M","N","5마리 함께 구조, 45일 추정"
"444449202401426","서북구 성환읍 신향촌길 28","[개] 믹스견","흰+갈","2018(년생)","7.2(Kg)","M","N","겁은 있으나 사람을 싫어하지 않음"
"444449202401421","동남구 병천면 송정리 5길 10-1","[개] 믹스견","미색","2024(년생)","6(Kg)","F","N","4개월 추정, 순함"
"444449202401415","서북구 성환읍 왕지1길 배밭","[개] 믹스견","갈색","2024(60일미만)(년생)","2.5(Kg)","M","N","2마리 함께 구조, 2개월 추정"
"444449202401414","서북구 성환읍 왕지1길 배밭","[개] 믹스견","갈색","2024(60일미만)(년생)","3(Kg)","F","N","2마리 함께 구조, 2개월 추정"
"444449202401411","동남구 광덕면 무학리 차령터널관리소","[개] 믹스견","백+갈","2019(년생)","3.3(Kg)","F","U","심장사상충 양성, 순함"
